,polymer,mean(ni),standard_deviation(ni),Median(ni),mean(nid),standard_deviation(nid),Median(nid)
168,PP,0.003537564,0.001646985,0.003085515,0.008466321,0.282577647,0.010117388
169,PP,0.003575141,0.001641668,0.003122139,0.006624221,0.279552798,0.007988381
170,PP,0.003485567,0.001644702,0.003032106,0.008973425,0.285620498,0.010802469
171,PP,0.003535131,0.001651171,0.003080938,0.006445824,0.282676104,0.007657585
172,PP,0.003941668,0.001709989,0.003482268,-0.000140075,0.259843202,0.00038956
173,PP,0.003809346,0.00168042,0.003352561,0.000896186,0.266627732,0.001541426
174,PP,0.003758677,0.001661079,0.003305255,-0.004278604,0.268538348,-0.004723733
175,PP,0.003540254,0.001677424,0.003074834,0.006057309,0.283689235,0.006813324
176,PP,0.003904273,0.001793128,0.003407496,0.00221455,0.264416601,0.002513194
177,PP,0.003693671,0.00164965,0.003244217,0.001134687,0.272036671,0.001359157
178,PP,0.003682968,0.001651421,0.003236587,0.002494839,0.273340373,0.002928687
179,PP,0.003586883,0.001732492,0.003102301,0.005963562,0.281097247,0.006829546
180,PP,0.003580682,0.001641317,0.003126717,0.00516733,0.27936833,0.006272964
181,PP,0.003637578,0.001647348,0.003187756,0.003550248,0.2754536,0.004561003
182,PP,0.003555514,0.001642992,0.003102301,0.003813811,0.28083876,0.004685548
183,PP,0.004706545,0.00250065,0.003785937,-0.010799393,0.243404517,-0.021510104
184,PP,0.003688785,0.001651866,0.003233535,0.004193051,0.272751761,0.005151267
185,PP,0.003719113,0.001657366,0.003267106,0.003619844,0.270457998,0.004427266
186,PP,0.003775273,0.001653085,0.003322041,0.00032631,0.266988027,0.000467509
187,PP,0.004719677,0.004022066,0.003457853,-0.008456662,0.259768348,-0.018228063
188,PP,0.003657806,0.0016443,0.003206067,0.005928601,0.274079191,0.007100974
189,PP,0.003619576,0.001640812,0.003167918,0.004343579,0.276447133,0.005532503
190,PP,0.003637072,0.001730141,0.00316334,0.004175896,0.278090487,0.004499632
191,PP,0.003565562,0.001645179,0.003114509,0.004080266,0.280213788,0.004989309
192,PP,0.003565071,0.001642188,0.003111457,0.007198757,0.280073118,0.008726003
193,PP,0.003657995,0.001643844,0.003206067,0.005237708,0.273874489,0.006246724
194,PP,0.003810786,0.001629605,0.003361716,-0.001444032,0.263211583,-0.001216545
195,PP,0.003711945,0.001639395,0.003259476,0.003876396,0.270343751,0.004852392
196,PP,0.003835664,0.001700034,0.003372398,0.000841252,0.265567973,0.00107527
