,polymer,mean(ni),median(ni),standard_deviation(ni),variance(ni),iqr(ni),range(ni),mean(nid),median(nid),standard_deviation(nid),variance(nid),iqr(nid),range(nid)
182,PP,0.003674632,0.003222853,0.001639669,2.69E-06,0.001510712,0.029472624,-0.174198093,-0.202359881,0.277849293,0.077200229,0.362813625,1.757521714
183,PP,0.005231402,0.004046878,0.003055587,9.34E-06,0.002559055,0.036374596,-0.253006243,-0.294652616,0.246031371,0.060531435,0.310268333,1.718826834
184,PP,0.003864542,0.003407496,0.001658024,2.75E-06,0.001544284,0.029327657,-0.197978096,-0.228915662,0.268893345,0.072303631,0.347140696,1.750505843
185,PP,0.003911588,0.003456327,0.001666352,2.78E-06,0.001580907,0.029416163,-0.202700185,-0.233619819,0.265710445,0.07060204,0.341052296,1.741102822
186,PP,0.00396294,0.003509736,0.001657376,2.75E-06,0.00155344,0.029593176,-0.205524341,-0.23694779,0.262937515,0.069136137,0.336430859,1.738923652
187,PP,0.005389939,0.003665385,0.005722259,3.27E-05,0.002006653,0.048422145,-0.20831324,-0.239748866,0.260071024,0.067636937,0.336989119,1.743929678
188,PP,0.003826429,0.003373924,0.001645404,2.71E-06,0.001527498,0.029431423,-0.196143316,-0.226600984,0.270160398,0.07298664,0.349080955,1.74576813
189,PP,0.003797657,0.003349509,0.001634583,2.67E-06,0.001504608,0.029719832,-0.191949323,-0.222002374,0.27080288,0.0733342,0.350075704,1.751782945
190,PP,0.003816447,0.003322041,0.001814984,3.29E-06,0.001620582,0.029397851,-0.185812082,-0.216556244,0.275038407,0.075646126,0.358512447,1.755119117
191,PP,0.00371323,0.003262528,0.001646499,2.71E-06,0.001532076,0.029391748,-0.178384601,-0.207066834,0.276052316,0.076204881,0.359370618,1.7756345
192,PP,0.003692388,0.003241165,0.001632516,2.67E-06,0.001503082,0.029226943,-0.182277902,-0.211350293,0.276020145,0.076187121,0.359327643,1.769019125
193,PP,0.003781782,0.003331197,0.001638316,2.68E-06,0.001516816,0.029344442,-0.192617431,-0.2226571,0.271246236,0.07357452,0.350937857,1.754768933
194,PP,0.00399092,0.003541781,0.001634146,2.67E-06,0.001504608,0.029431423,-0.209748003,-0.241076331,0.260725487,0.06797778,0.332482182,1.737447255
195,PP,0.003891635,0.003439541,0.001637528,2.68E-06,0.001509186,0.029211683,-0.203345233,-0.234327903,0.266104801,0.070811765,0.34196368,1.740854766
196,PP,0.004051107,0.003567723,0.00173989,3.03E-06,0.001759446,0.029361228,-0.210707546,-0.244024457,0.263298264,0.069325976,0.337026632,1.753581668
197,PP,0.003914199,0.003462431,0.001633992,2.67E-06,0.001503082,0.0292773,-0.205072473,-0.236148466,0.264641831,0.070035299,0.33935987,1.742993134
198,PP,0.004006651,0.003549411,0.001658481,2.75E-06,0.001558017,0.029439053,-0.214880152,-0.247201641,0.261061603,0.06815316,0.332912575,1.742620625
199,PP,0.003837173,0.003329671,0.001774513,3.15E-06,0.001707563,0.029407007,-0.184661861,-0.215827337,0.275921615,0.076132738,0.362321098,1.779529857
200,PS,0.003934842,0.003482268,0.001635813,2.68E-06,0.001506134,0.029524507,-0.208952143,-0.240384614,0.264042392,0.069718385,0.33792453,1.749549245
201,PS,0.003904285,0.003451749,0.00163632,2.68E-06,0.001504608,0.02968626,-0.205186337,-0.236518663,0.265878777,0.070691524,0.341515304,1.742775066
202,PS,0.003983586,0.003535677,0.00162327,2.64E-06,0.001490875,0.029249832,-0.217018463,-0.249115714,0.260302214,0.067757242,0.331458342,1.736702556
203,PS,0.004065142,0.003549411,0.001812644,3.29E-06,0.001588537,0.029399377,-0.215559914,-0.24812382,0.26325017,0.069300652,0.338356105,1.730680086
204,PS,0.003914242,0.003459379,0.00164125,2.69E-06,0.001518342,0.029292559,-0.206467331,-0.237979057,0.265664002,0.070577362,0.341466129,1.740904792
205,PS,0.003776946,0.003328145,0.001631342,2.66E-06,0.001503082,0.02934139,-0.193210028,-0.223439609,0.271433838,0.073676328,0.350770223,1.759565228
206,PS,0.004265243,0.003817982,0.001629003,2.65E-06,0.001501556,0.029323079,-0.237333877,-0.270551508,0.24805761,0.061532578,0.311252161,1.707180461
207,PS,0.00402453,0.003573827,0.001633044,2.67E-06,0.00150766,0.029161326,-0.216887314,-0.249046321,0.25935248,0.067263709,0.330209549,1.730038303
208,PS,0.003958352,0.00350821,0.001630615,2.66E-06,0.001498505,0.029326131,-0.212163583,-0.244013682,0.262205169,0.06875155,0.334993436,1.730725249
209,PS,0.004722238,0.004080449,0.00201163,4.05E-06,0.002096686,0.031550998,-0.255504105,-0.293243101,0.241993248,0.058560732,0.302107197,1.709755727
210,PS,0.003841814,0.003389184,0.001636842,2.68E-06,0.001506134,0.02925441,-0.196369664,-0.226691254,0.268512228,0.072098816,0.346037694,1.756472249
211,PS,0.003990801,0.003543307,0.001626647,2.65E-06,0.001496979,0.029066715,-0.21670518,-0.248855498,0.260121593,0.067663243,0.331494041,1.726415249
212,PS,0.004055026,0.003605872,0.001638504,2.68E-06,0.001521394,0.029181163,-0.217811238,-0.249746364,0.258010848,0.066569597,0.327969468,1.716730036
213,PS,0.004009261,0.003555515,0.001652612,2.73E-06,0.001562595,0.029374962,-0.214455216,-0.246838068,0.261298298,0.068276801,0.333737383,1.739832963
214,PS,0.003947586,0.003499054,0.001635742,2.68E-06,0.001506134,0.029423793,-0.207957401,-0.239324842,0.263214951,0.069282111,0.337015724,1.742680072
215,PS,0.003924736,0.003471586,0.001639388,2.69E-06,0.00151529,0.02902704,-0.206525425,-0.237828986,0.264509863,0.069965467,0.339173924,1.742781404
