,polymer,mean(ni),Median(ni),mean(nid),Median(nid)
335,PVC,0.040830723,0.04004761,-0.09984865,-0.105607742
336,PVC,0.055170377,0.054483306,-0.107137729,-0.112454111
337,PVC,0.047985467,0.047360068,-0.100840223,-0.106222915
338,PVC,0.034559651,0.033760606,-0.097743098,-0.103739965
339,PVC,0.046080532,0.045443447,-0.098237231,-0.103702709
340,PVC,0.045731332,0.045046695,-0.100573057,-0.106058466
341,PVC,0.050327024,0.040755661,-0.089537573,-0.093649115
342,PVC,0.056088347,0.055563694,-0.108660107,-0.113963571
343,PVC,0.047951854,0.047335653,-0.105308558,-0.110933546
344,PVC,0.051500872,0.050943051,-0.106011992,-0.111540648
345,PVC,0.044851847,0.044137215,-0.104028891,-0.109694209
346,PVC,0.051661355,0.050967466,-0.106181321,-0.111628435
347,PVC,0.054671689,0.054001099,-0.108327474,-0.113716428
348,PVC,0.048290789,0.047610328,-0.105217569,-0.110936167
349,PVC,0.047525513,0.046865653,-0.105350459,-0.110992028
350,PET,0.063356816,0.062660227,-0.073302815,-0.077884815
351,PET,0.090092794,0.090041888,-0.080949653,-0.085131382
352,PET,0.08538743,0.085082479,-0.078989436,-0.083404987
353,PET,0.061268495,0.060533404,-0.072600719,-0.077305931
354,PET,0.088101064,0.087438198,-0.076612322,-0.080936455
355,PET,0.107381786,0.108191418,-0.085768143,-0.089999098
356,PET,0.064835993,0.064634453,-0.071296853,-0.07571399
357,PET,0.090107853,0.093914042,-0.078722706,-0.082747633
358,PET,0.072750126,0.073094061,-0.073315034,-0.077725682
359,PET,0.087400605,0.08746681,-0.078931798,-0.083099413
360,PET,0.067615773,0.066799426,-0.072274057,-0.076839676
361,PET,0.069176524,0.068668742,-0.071573416,-0.07606973
362,PET,0.087848747,0.087447735,-0.075463859,-0.079655318
363,PET,0.062769495,0.062183361,-0.073875444,-0.078492997
364,PET,0.078087686,0.077633828,-0.074431331,-0.078673563
365,PET,0.058753317,0.058006012,-0.070691548,-0.07536856
366,PET,0.091141938,0.090967008,-0.079126142,-0.083404529
367,PET,0.072839568,0.072102179,-0.072243825,-0.076672547
368,PET,0.093732516,0.093379952,-0.079680659,-0.083852369
369,PET,0.081398657,0.080790682,-0.074193789,-0.078471285
370,PET,0.069171919,0.068811802,-0.073387858,-0.077837532
371,PET,0.085959839,0.085530733,-0.078532032,-0.082782205
372,PET,0.058627643,0.057901102,-0.072265729,-0.076973738
373,PET,0.090387381,0.089832067,-0.079690078,-0.083931102
374,PET,0.093652701,0.093284579,-0.079952124,-0.08414951
375,PET,0.093256539,0.09292216,-0.080075519,-0.084236864
376,PET,0.102369177,0.10204938,-0.084615013,-0.088870277
377,PET,0.077157029,0.076823155,-0.076381218,-0.080716949
378,PET,0.077742903,0.077280947,-0.07618048,-0.080502264
379,PET,0.089330974,0.088983245,-0.078323418,-0.08252829
380,PET,0.085655407,0.08514924,-0.077143683,-0.081404756
381,PET,0.077464404,0.076851767,-0.071998392,-0.076341555
382,PET,0.085434007,0.086303256,-0.079331354,-0.083562999
383,PET,0.106465281,0.106303028,-0.086151208,-0.090288996
384,PET,0.069176829,0.069450803,-0.071508357,-0.076004343
385,PET,0.123096054,0.123899393,-0.09568553,-0.099522952
386,PET,0.115302189,0.115764054,-0.090333194,-0.094390526
387,PET,0.075511802,0.075068287,-0.074632315,-0.078985459
388,PET,0.100865814,0.100256363,-0.085193425,-0.089513072
389,PET,0.090565703,0.090204022,-0.078409071,-0.082608695
390,PET,0.083606595,0.083346686,-0.077368253,-0.081584023
391,PET,0.063996747,0.063604422,-0.075038688,-0.079668379
392,PET,0.075572323,0.075259034,-0.074565132,-0.078826485
393,PET,0.089779201,0.089832067,-0.078959485,-0.083111338
394,PET,0.061484716,0.060886285,-0.071326391,-0.075845263
395,PET,0.078743051,0.078492187,-0.073758788,-0.078049657
396,PET,0.077654053,0.077786425,-0.072748793,-0.076941302
397,PET,0.082474066,0.082240356,-0.075202191,-0.07939744
398,PET,0.07478746,0.074372063,-0.074531101,-0.078909042
399,PET,0.068789609,0.068544757,-0.073798725,-0.078215802
400,PU,0.029031427,0.029289126,-0.07043589,-0.07810691
401,PU,0.033952541,0.032894235,-0.072032221,-0.077078002
402,PU,0.027056498,0.02592245,-0.067287583,-0.072463768
403,PU,0.033499875,0.032436443,-0.077251335,-0.082574199
404,PU,0.028484487,0.02741981,-0.071457617,-0.076757916
405,PU,0.03490488,0.033857505,-0.080833891,-0.086288416
406,PU,0.031331493,0.030214246,-0.076118054,-0.081525312
407,PU,0.033985414,0.032941922,-0.084299795,-0.090015361
408,PU,0.031974292,0.030900934,-0.079122055,-0.084637496
409,PU,0.034872631,0.03383843,-0.082680004,-0.088398405
410,PU,0.032578622,0.031482711,-0.079811597,-0.085403684
411,PU,0.031497488,0.030433605,-0.080955044,-0.086574655
412,PU,0.028285145,0.027162302,-0.06635264,-0.071455155
413,PU,0.027861203,0.026733123,-0.073496773,-0.078938053
414,PU,0.041631695,0.040667155,-0.075171413,-0.080371808
415,PU,0.032019433,0.030939083,-0.081177931,-0.086824387
416,PU,0.032513757,0.031454099,-0.079588824,-0.085201793
417,PU,0.030210413,0.029088842,-0.077685341,-0.083232685
418,PU,0.07544727,0.074734481,-0.072479765,-0.076825798
419,PU,0.032967571,0.031864204,-0.078268281,-0.083769633
420,PU,0.029400418,0.028392617,-0.077494893,-0.082998172
421,PU,0.037499231,0.036461195,-0.090333142,-0.096232179
422,PU,0.030669592,0.029651544,-0.07653759,-0.082140634
423,PU,0.026583551,0.025483733,-0.0665034,-0.071702557
424,PU,0.032937604,0.031873741,-0.076625917,-0.082038533
425,PU,0.04044572,0.039532213,-0.073964453,-0.079380806
426,PU,0.03519367,0.034181774,-0.082343422,-0.087856743
427,PU,0.031771142,0.030767411,-0.080714744,-0.086342229
428,PU,0.028747932,0.027744079,-0.069764836,-0.074965612
429,PU,0.03729846,0.036346747,-0.083952964,-0.089651503
430,PU,0.032138872,0.03109168,-0.079663202,-0.085168249
431,PU,0.036300147,0.035221342,-0.080991207,-0.086628683
432,PU,0.034404357,0.033352026,-0.083843891,-0.089512555
433,PU,0.034204724,0.033199429,-0.077863938,-0.083381586
434,PU,0.031285096,0.030176097,-0.078984543,-0.084549794
435,PU,0.035396355,0.034172236,-0.082022044,-0.087709005
436,PU,0.030047729,0.028983932,-0.077772273,-0.083471899
437,PU,0.024577776,0.023423671,-0.060664825,-0.065749892
438,PU,0.028295031,0.02727675,-0.07314907,-0.078453884
439,PU,0.030346057,0.029241439,-0.07136516,-0.076623376
440,PU,0.033368407,0.032283846,-0.081925692,-0.087538307
441,PU,0.034889015,0.033847967,-0.08260952,-0.088235294
442,PU,0.030151483,0.029069767,-0.075100048,-0.08056266
443,PU,0.03153806,0.030404993,-0.078609416,-0.084170854
444,PU,0.029315848,0.028192334,-0.079078965,-0.084745762
445,PU,0.037073643,0.03601294,-0.08644552,-0.092180217
446,PU,0.032392894,0.031349188,-0.085915598,-0.091787439
447,PU,0.02717305,0.026036898,-0.070602176,-0.075917181
448,PU,0.034502845,0.033437862,-0.084064801,-0.089777777
449,PU,0.031609354,0.030576665,-0.076494651,-0.081978554
450,ABS,0.237328473,0.236859473,-0.015229939,-0.01453702
451,ABS,0.20491725,0.204270433,-0.040862349,-0.039939249
452,ABS,0.225025543,0.224556324,-0.022680301,-0.02167496
453,ABS,0.200576488,0.199940487,-0.045874105,-0.045093093
454,ABS,0.216023931,0.215514939,-0.029933185,-0.028761838
455,ABS,0.185336138,0.184718916,-0.064892101,-0.065428257
456,ABS,0.220480478,0.219911646,-0.026175552,-0.025073779
457,ABS,0.170363822,0.171099615,-0.084740457,-0.08646521
458,ABS,0.245389092,0.244832677,-0.011373339,-0.01089657
459,ABS,0.28646629,0.286033922,-0.00219145,-0.00182621
460,ABS,0.140431044,0.139769502,-0.107537501,-0.111065907
461,ABS,0.215700591,0.215200208,-0.030180533,-0.029044401
462,ABS,0.155907304,0.155219969,-0.099262858,-0.102277752
463,ABS,0.265970063,0.265700345,-0.005421517,-0.005351422
464,ABS,0.243014047,0.242496032,-0.012573227,-0.012027831
465,ABS,0.254261067,0.25434139,-0.008305009,-0.00790323
466,ABS,0.227331615,0.22677852,-0.021091896,-0.020152855
467,ABS,0.308156276,0.308532473,0.000240308,0
468,ABS,0.26040568,0.260140084,-0.006611882,-0.006481731
469,ABS,0.304313623,0.304393274,-0.000237469,0
470,ABS,0.192030259,0.191423656,-0.056456202,-0.056300813
471,ABS,0.151655418,0.150966322,-0.102051391,-0.105206353
472,ABS,0.196940954,0.196297229,-0.050163062,-0.049645058
473,ABS,0.164605485,0.163975233,-0.090485916,-0.092995242
474,ABS,0.183709851,0.183288317,-0.067201013,-0.067847188
475,ABS,0.196623638,0.195992034,-0.050647656,-0.050113679
476,ABS,0.226176721,0.225576817,-0.021878976,-0.020906524
477,ABS,0.232006366,0.231518571,-0.018111941,-0.017262663
478,ABS,0.20109212,0.200426891,-0.045420269,-0.044654811
479,ABS,0.207350724,0.206807361,-0.038286561,-0.037257824
480,ABS,0.186223792,0.185624962,-0.063850327,-0.064269458
481,ABS,0.197561006,0.19693623,-0.049428352,-0.048890606
482,ABS,0.205010022,0.204365806,-0.040635315,-0.039726127
483,ABS,0.183097807,0.182429958,-0.067899393,-0.068691215
484,ABS,0.271643734,0.271241531,-0.004308015,-0.004213239
485,ABS,0.207571025,0.206940884,-0.038068685,-0.037043694
486,ABS,0.253166671,0.252653284,-0.008812303,-0.008515793
487,ABS,0.233233714,0.232691662,-0.017441242,-0.016625514
488,ABS,0.191096895,0.190412699,-0.057367205,-0.057357107
489,ABS,0.245717619,0.245309543,-0.01124568,-0.010791088
