polymer,mean(ni),standard_deviation(ni),mean(nd),standard_deviation(nd)
2,-0.5439726704507621,-0.7475383952505553,-0.11422849960172526,0.9005313874534449
2,-0.5471930295174119,-0.7579653015370282,-0.17616862383633483,1.0100004840718695
2,-0.5525447811304223,-0.7543622333595454,-0.2888896798644163,1.2595937134512123
2,-0.5427839592917864,-0.7605875705737437,-0.07420844348882792,0.8275971345870633
2,-0.5444156080856651,-0.7627407819324481,-0.11755915172535918,0.8760794171736928
2,-0.5389995762608738,-0.7569506337409743,0.03764511011593561,0.6970931304061797
2,-0.5432969402954452,-0.7601013465909982,-0.08875618985087697,0.843943755871189
2,-0.5446810885120467,-0.7599329312229288,-0.11844692753935872,0.8982190197595658
2,-0.5476085171155772,-0.7599139091014665,-0.1911815405086185,1.0129748252066653
2,-0.5453667991345208,-0.7575431032314,-0.13562669608214462,0.9280475085441914
2,-0.5491210156406424,-0.7568555231336623,-0.22920782921203986,1.0882574776559162
2,-0.5480216634312215,-0.757596921916513,-0.19385173958482452,1.038986814251934
2,-0.5432243755455127,-0.7597965286934181,-0.08272585478679378,0.8439682014889511
2,-0.5476745983139129,-0.7598883916214559,-0.1864166106745498,1.0142959430322593
2,-0.5447749199115457,-0.7597594123588574,-0.12327058707843973,0.9025703011432625
2,-0.545653861383116,-0.7588018109271906,-0.1417157815489329,0.9416599498494046
2,-0.5461913207956973,-0.7596656936140916,-0.1546735518019744,0.9556315784220266
2,-0.541229032525137,-0.7639025232041988,-0.016172369926855893,0.773363522122112
2,-0.5441449348147176,-0.7596638377973636,-0.11099610977748926,0.8761002621744256
2,-0.5480403486667262,-0.7571872503737989,-0.20555377043066764,1.0410631100621284
2,-0.5478220240716349,-0.7575556299943141,-0.18813182852629834,1.0323980065711904
2,-0.5460521645679054,-0.7596712610642757,-0.14400383911196368,0.9535970626287237
2,-0.5453994720322671,-0.7576628034103583,-0.13238446450469898,0.9280782295230627
2,-0.5485431090716872,-0.7567738671976287,-0.20974320089985324,1.0640255950921065
2,-0.5243481003918901,-0.769251914922764,0.4905334401355878,0.2955397942470963
2,-0.5468625634928488,-0.7588778994130401,-0.15727825302742762,0.9893506239227017
2,-0.5457961093044934,-0.7577602337885802,-0.14792120875030187,0.9470383458188717
2,-0.5384309147562326,-0.7586389630093054,0.07275346905089042,0.6809252283201942
2,-0.5375426982039057,-0.7626294329287658,0.131483349993199,0.6544681901507038
2,-0.5272458427337109,-0.7725190802724721,0.4595033857539733,0.3457107405019766
2,-0.5228591797824699,-0.7665085538445441,0.5215828365116804,0.2670210813444216
2,-0.5373891340836764,-0.7643530227149297,0.10825157590134392,0.6419300057956572
2,-0.5337837691162993,-0.7347708401158465,0.20945933300081648,0.5356971566229007
2,-0.5445755056752783,-0.7338016398296294,-0.12111007905096327,0.9241851523750924
2,-0.5455351163362773,-0.7597844658846858,-0.1356376969061844,0.9277723828250799
