SBD,polymer,mean(ni),standard_deviation(ni),mean(nd),standard_deviation(nd)
PE_M30,PE,0.003869957,0.001616117,0.271532531,0.262980543
PE_M31,PE,0.003708515,0.001638703,0.266544675,0.274824146
PE_M32,PE,0.003872097,0.001641206,0.267966502,0.265882096
PE_M33,PE,0.003766899,0.001638971,0.266521637,0.271348913
PE_M34,PE,0.004006799,0.001669108,0.2724656,0.259792645
PE_M35,PE,0.004404193,0.001660462,0.288358914,0.244810724
PE_M36,PE,0.003859176,0.001635807,0.268090036,0.265943122
PE_M37,PE,0.003670552,0.001641336,0.261725691,0.276662357
PE_M38,PE,0.003772961,0.001636459,0.264892437,0.270677132
PE_M39,PE,0.003970745,0.001816585,0.269750811,0.263770426
PE_M40,PE,0.003721951,0.001627887,0.264144939,0.272031754
PE_M41,PE,0.003729016,0.00165551,0.264813437,0.27461422
PE_M42,PE,0.003670807,0.001641803,0.265909715,0.277166839
PE_M43,PE,0.004284732,0.002336908,0.272135837,0.256122969
PE_M44,PE,0.004420685,0.00300939,0.272699495,0.257867859
PE_M45,PE,0.00378036,0.001635731,0.265257616,0.270147578
PE_M46,PE,0.00369431,0.001638371,0.26425501,0.275261477
PE_M47,PE,0.003791077,0.001637603,0.265540688,0.269763746
PE_M48,PE,0.003881202,0.001726561,0.271355047,0.266676428
PE_M49,PE,0.003800545,0.001633054,0.26729746,0.268816591
PE_M50,PE,0.003980372,0.001830364,0.268127323,0.26285326
PP_M01,PP,0.003641827,0.001725476,0.275631714,0.28976747
PP_M02,PP,0.003872451,0.001644808,0.284443779,0.268252448
PP_M03,PP,0.00380113,0.001641631,0.282684266,0.271931835
PP_M04,PP,0.003811202,0.001642102,0.284807128,0.271821211
PP_M05,PP,0.004016634,0.001637772,0.290881755,0.260732829
PP_M06,PP,0.003863741,0.001639167,0.285584933,0.268319071
PP_M07,PP,0.003839661,0.001638893,0.28420962,0.26939743
PP_M08,PP,0.004000979,0.001624069,0.290489433,0.259312114
PP_M09,PP,0.003766972,0.001650211,0.283425765,0.271952102
PP_M10,PP,0.003682575,0.001650529,0.278104568,0.278294708
PP_M11,PP,0.00402375,0.00168045,0.29021836,0.261092629
PP_M12,PP,0.003950679,0.001701045,0.284962977,0.265529696
PP_M13,PP,0.00399662,0.001706498,0.288110892,0.2656654
PP_M14,PP,0.003903749,0.001640146,0.284698445,0.266035754
PP_M15,PP,0.003910547,0.001673539,0.28714711,0.267019253
PP_M16,PP,0.003999253,0.001685822,0.286994721,0.263680673
PP_M17,PP,0.003706373,0.001643672,0.276244981,0.276427641
PP_M18,PP,0.00387047,0.001802116,0.282892624,0.272737798
PP_M19,PP,0.00368071,0.001637301,0.279782861,0.277478057
PP_M20,PP,0.003746706,0.001637533,0.281440405,0.27445257
PP_M21,PP,0.003610938,0.001644085,0.276700994,0.28215717
PP_M22,PP,0.003690307,0.001658058,0.277460895,0.278108273
PP_M23,PP,0.004240531,0.001782664,0.296345242,0.255235916
PP_M24,PP,0.00408147,0.001729556,0.29056116,0.261427775
PP_M25,PP,0.003978719,0.001675328,0.280480099,0.262512724
PP_M26,PP,0.003704401,0.001707747,0.277518168,0.279772387
PP_M27,PP,0.004221703,0.001932657,0.295474413,0.261835844
PP_M28,PP,0.003893894,0.001654806,0.28228174,0.266706496
PP_M29,PP,0.003877728,0.001652127,0.285447458,0.267841862
PP_M30,PP,0.003799132,0.001882844,0.280304494,0.277681846
PP_M31,PP,0.003735158,0.001629398,0.280744045,0.274214398
PP_M32,PP,0.00373108,0.001651943,0.279935308,0.276096203
PP_M33,PP,0.003696424,0.001639074,0.276831351,0.276764892
PP_M34,PP,0.005325038,0.00316474,0.310059495,0.24280317
PP_M35,PP,0.003886409,0.001656616,0.287066893,0.267669816
PP_M36,PP,0.003944479,0.001668603,0.287297522,0.264368316
PP_M37,PP,0.003998992,0.001661606,0.28677059,0.261831368
PP_M38,PP,0.00551257,0.006040935,0.283810907,0.258361649
PP_M39,PP,0.003849401,0.001644125,0.285408318,0.269015075
PP_M40,PP,0.003823401,0.001632,0.2832262,0.269450602
PP_M41,PP,0.003846719,0.001835431,0.283052039,0.273828785
PP_M42,PP,0.0037396,0.001646165,0.278062545,0.274659495
PP_M43,PP,0.003714315,0.001632307,0.281297977,0.275111246
PP_M44,PP,0.003819468,0.001645848,0.283777755,0.270517628
PP_M45,PP,0.004014881,0.001631794,0.287940423,0.259559873
PP_M46,PP,0.003920431,0.001636006,0.288021962,0.264835825
PP_M47,PP,0.004082131,0.001746474,0.290976451,0.262180225
PP_M48,PP,0.00393294,0.001629857,0.287525214,0.263474017
PP_M49,PP,0.004038905,0.001660442,0.292524251,0.259793156
PP_M50,PP,0.0038893,0.00179641,0.281996977,0.274867638
PS_M01,PS,0.00393969,0.001631835,0.290686782,0.26369717
PS_M02,PS,0.003918581,0.001633598,0.28814591,0.265056656
PS_M03,PS,0.004019028,0.001634761,0.293214397,0.260587931
PS_M04,PS,0.004057075,0.001816574,0.294974774,0.262248392
PS_M05,PS,0.003926523,0.001640528,0.288985434,0.265210233
PS_M06,PS,0.003807233,0.001639656,0.283777748,0.271294192
PS_M07,PS,0.004283033,0.001628003,0.299648812,0.247481573
PS_M08,PS,0.0040442,0.001634653,0.292216252,0.258971005
PS_M09,PS,0.003955787,0.00162174,0.29065233,0.261396642
PS_M10,PS,0.004776795,0.002053969,0.308846503,0.239906363
PS_M11,PS,0.003851032,0.001635451,0.284360989,0.268207858
PS_M12,PS,0.004020188,0.001634734,0.291715072,0.260058253
PS_M13,PS,0.004047123,0.0016271,0.292487539,0.25721455
PS_M14,PS,0.004027082,0.001655923,0.291818358,0.26089762
PS_M15,PS,0.003959293,0.001634402,0.288398683,0.262776416
PS_M16,PS,0.003940574,0.00164251,0.287442267,0.264332751
PS_M17,PS,0.00393864,0.00164255,0.285857901,0.26417331
PS_M18,PS,0.004121217,0.001630063,0.294232668,0.254631636
PS_M19,PS,0.004607087,0.001621887,0.31768431,0.23526889
PS_M20,PS,0.004352949,0.001630906,0.307499706,0.245609565
PS_M21,PS,0.00383356,0.001657498,0.285514085,0.272750035
PS_M22,PS,0.003991179,0.001636058,0.292388484,0.261968873
PS_M23,PS,0.003747065,0.001641419,0.283348931,0.275017668
PS_M24,PS,0.003974579,0.001635223,0.291587499,0.262735211
PS_M25,PS,0.003843757,0.001642423,0.28631931,0.269332151
PS_M26,PS,0.00401806,0.001637544,0.292129944,0.260334667
PS_M27,PS,0.004079652,0.001637391,0.295407503,0.257175712
PS_M28,PS,0.003888313,0.00163733,0.287399203,0.266808926
PS_M29,PS,0.003765222,0.00163572,0.282535172,0.272920865
PS_M30,PS,0.003793226,0.001652086,0.283897124,0.272569056
PS_M31,PS,0.004194543,0.001627652,0.298557105,0.251546617
PS_M32,PS,0.003857644,0.001634371,0.286723115,0.268216403
PS_M33,PS,0.003854638,0.001632826,0.286747504,0.26776878
PS_M34,PS,0.003819842,0.001635103,0.284943876,0.269994927
PS_M35,PS,0.004222833,0.001684217,0.298212581,0.250438708
PS_M36,PS,0.00391791,0.001649756,0.288067759,0.265571964
PS_M37,PS,0.00399554,0.001633738,0.290924188,0.260974495
PS_M38,PS,0.004069876,0.001636415,0.293022061,0.257665932
PS_M39,PS,0.003912881,0.00164114,0.287987835,0.265506967
PS_M40,PS,0.003928185,0.001651982,0.28774447,0.264654794
PS_M41,PS,0.00382351,0.001636453,0.284506759,0.269971599
PS_M42,PS,0.003833056,0.001634046,0.284486139,0.269008597
PS_M43,PS,0.003907404,0.001634033,0.288516172,0.265491548
PS_M44,PS,0.004052172,0.001625219,0.294684969,0.257669182
PS_M45,PS,0.004160729,0.001627747,0.297379902,0.253206216
PS_M46,PS,0.003925297,0.001654772,0.289348661,0.266947748
PS_M47,PS,0.004161298,0.001631789,0.300020563,0.253907875
PS_M48,PS,0.003924245,0.001655883,0.28874674,0.266100362
PS_M49,PS,0.004074393,0.001632903,0.295715896,0.257743133
PS_M50,PS,0.005805576,0.008285138,0.283348202,0.265345391
POM_M01,POM,0.020638331,0.007016783,0.372505997,0.159152641
POM_M02,POM,0.013797467,0.003404153,0.318684625,0.179868169
POM_M03,POM,0.013102422,0.003392981,0.313412003,0.185871321
POM_M04,POM,0.015582304,0.003408951,0.341845933,0.165779133
POM_M05,POM,0.01334962,0.003382487,0.317788831,0.183150894
POM_M06,POM,0.013956227,0.00340118,0.321145528,0.178514146
POM_M07,POM,0.012796803,0.003403493,0.310963516,0.18910453
POM_M08,POM,0.014245525,0.003422976,0.327095708,0.176071989
POM_M09,POM,0.013138379,0.003406082,0.313541396,0.18536831
POM_M10,POM,0.013770532,0.003464008,0.319628927,0.181017151
POM_M11,POM,0.013864875,0.003397383,0.319558872,0.179310707
POM_M12,POM,0.013406205,0.003410018,0.315096922,0.183407915
POM_M13,POM,0.014046441,0.003704789,0.326086512,0.178809625
POM_M14,POM,0.01208246,0.003422983,0.303399978,0.197381589
POM_M15,POM,0.013469979,0.003371071,0.320133133,0.181669423
POM_M16,POM,0.013747097,0.003472969,0.319406662,0.181027974
POM_M17,POM,0.014559596,0.003626462,0.326539652,0.174129499
POM_M18,POM,0.014242264,0.003374121,0.324349733,0.175024187
POM_M19,POM,0.012446964,0.00347025,0.311282394,0.193778801
POM_M20,POM,0.013459967,0.003509142,0.317921587,0.183559494
POM_M21,POM,0.012778719,0.003418695,0.310352478,0.189050378
POM_M22,POM,0.013333084,0.003532331,0.317824207,0.185666153
POM_M23,POM,0.013812326,0.006226791,0.31878642,0.190792298
POM_M24,POM,0.013318756,0.003438817,0.316836588,0.18424976
POM_M25,POM,0.013541317,0.00337721,0.318553472,0.181367525
POM_M26,POM,0.014634805,0.003414283,0.332769265,0.173367257
POM_M27,POM,0.012764101,0.003686019,0.31105875,0.192489472
POM_M28,POM,0.019942626,0.009678215,0.343176317,0.152442636
POM_M29,POM,0.01364288,0.003423664,0.318301344,0.181464991
POM_M30,POM,0.014619577,0.004219891,0.326572173,0.173722394
POM_M31,POM,0.013132318,0.003408794,0.313524519,0.186017344
POM_M32,POM,0.014674958,0.003432328,0.331034548,0.17143143
POM_M33,POM,0.012012159,0.003405351,0.300925796,0.197354725
POM_M34,POM,0.013559905,0.003371821,0.321656659,0.181223652
POM_M35,POM,0.012454999,0.003420171,0.307214603,0.19304982
POM_M36,POM,0.01254844,0.003420458,0.309330768,0.192418412
POM_M37,POM,0.012375768,0.003402113,0.306777555,0.193330445
POM_M38,POM,0.015325959,0.004892704,0.330682732,0.17194685
POM_M39,POM,0.014483859,0.003602686,0.331102425,0.17641088
POM_M40,POM,0.012111361,0.003437116,0.303495215,0.197134612
POM_M41,POM,0.012134027,0.003421688,0.308282224,0.196979344
POM_M42,POM,0.014628624,0.003396959,0.335351629,0.173381732
POM_M43,POM,0.014853299,0.005070428,0.330765945,0.179368064
POM_M44,POM,0.013205393,0.003396232,0.31858424,0.185939663
POM_M45,POM,0.014976153,0.010744978,0.324313529,0.185366659
POM_M46,POM,0.012995046,0.00339765,0.313476688,0.18700831
POM_M47,POM,0.013885528,0.003369168,0.324860251,0.178078625
POM_M48,POM,0.013862173,0.004192822,0.325641261,0.180995008
POM_M49,POM,0.012628465,0.003399218,0.311446848,0.190969752
POM_M50,POM,0.013196316,0.00337854,0.3172688,0.184497855
PVC_M01,PVC,0.055412144,0.003303396,0.358443771,0.088578488
PVC_M02,PVC,0.048345081,0.003303259,0.356607607,0.089667452
PVC_M03,PVC,0.062686808,0.003378047,0.344170529,0.089565156
PVC_M04,PVC,0.058922332,0.003559093,0.348148039,0.088859022
PVC_M05,PVC,0.055928093,0.003317576,0.348913272,0.088620129
PVC_M06,PVC,0.063255651,0.003413409,0.337556784,0.089513366
PVC_M07,PVC,0.068913903,0.005601534,0.320576076,0.091910651
PVC_M08,PVC,0.054931183,0.003754406,0.350366529,0.089284879
PVC_M09,PVC,0.0615031,0.00345204,0.340536426,0.089196541
