,Name,intensity_std,intensity_mean,phase_std,phase_mean,mod_std,mod_mean,phaselifetime_std,phaselifetime_mean,modulationlifetime_std,modulationlifetime_mean
177,PC,0.004133679,0.019990446,13.943073,7.822521,0.2084805,0.74738455,0.8699786,0.8555451,1.8144667,4.921302
178,PC,0.003992348,0.018294333,14.533912,5.859195,0.21335766,0.71197706,0.6246703,0.68501216,2.0338874,5.4680247
179,PC,0.004287057,0.02315058,12.781804,8.414779,0.18631878,0.71594787,0.5477113,0.88963413,1.7360978,5.346627
180,PC,0.004192158,0.021204207,13.4776125,6.809481,0.19051278,0.66870165,0.5194244,0.75118387,1.9791592,6.1131287
181,PC,0.004161392,0.020105947,14.163123,4.465765,0.18713896,0.5874631,0.7644216,0.5595305,2.3421016,7.5961323
182,PC,0.004137951,0.01973087,14.106527,5.2219872,0.19355223,0.6211657,0.89166677,0.62267005,2.2749336,6.96543
183,PC,0.004294372,0.02260825,13.06151,8.099056,0.18296646,0.6647001,0.69724965,0.86488986,1.9536577,6.1709404
184,PC,0.004249909,0.021054279,13.516655,6.582143,0.18847789,0.6500194,0.8126702,0.7326089,2.1319616,6.440184
185,PC,0.004526604,0.024242526,12.544303,7.8992176,0.1764854,0.65543,0.61706835,0.83758795,1.9677441,6.3205523
186,PC,0.004438928,0.022506993,13.248729,6.8119965,0.17893106,0.59792525,0.79034054,0.74876547,2.2448368,7.386386
187,PC,0.003895369,0.013321189,17.618479,3.294346,0.3133878,0.8793034,0.91782266,0.53050643,2.14754,3.4073968
188,PC,0.006494392,0.018863274,14.573905,4.5509467,0.29350463,0.9686958,0.6153801,0.565752,2.1649017,2.2346938
189,PC,0.013274973,0.049259342,8.443697,10.600519,0.1617158,0.9102545,0.38974392,1.0382262,1.2244068,2.5926993
190,PC,0.006177956,0.014750214,17.14725,2.3531168,0.32953835,0.9674479,0.6739936,0.4344364,2.5973294,2.3981826
191,PC,0.006142591,0.014354456,17.50687,2.170386,0.33641917,0.9754145,0.68057513,0.42963007,2.6396985,2.3276992
192,PC,0.006128961,0.014909392,17.116812,2.5675588,0.33029994,0.9684678,0.60863656,0.45113435,2.5493753,2.3872159
193,PC,0.006372364,0.017343128,15.857253,4.785209,0.30115107,0.9686802,0.8097307,0.6144385,2.2904208,2.2651727
194,PC,0.00661052,0.02064441,13.785326,5.4473925,0.27926219,0.95397186,0.38392523,0.6319123,2.044349,2.3711421
195,PC,0.00622006,0.015351347,16.855116,2.8749619,0.33065736,0.9849995,0.44521594,0.4716248,2.475381,2.1877112
196,PC,0.006307999,0.017460251,15.445421,4.866518,0.30697325,0.96053874,0.7434662,0.6128188,2.2923608,2.3981392
197,PC,0.006119105,0.014264927,17.496437,1.9523087,0.34231743,0.99024624,0.4984264,0.40856034,2.6029928,2.1699116
198,PC,0.003994445,0.014500893,16.881155,4.737144,0.29953003,0.88847816,0.5645726,0.63323075,1.9705982,3.245349
199,PC,0.006012855,0.012874624,18.834385,-0.3135063,0.3537161,0.98063856,0.9178405,0.28824067,2.801635,2.3292022
200,PC,0.00595316,0.012667247,19.012377,-0.2419679,0.35634455,0.98787934,0.69957334,0.29363638,2.820299,2.2510846
201,PC,0.006211257,0.016099434,16.35165,4.1273026,0.31707954,0.9606244,0.77412504,0.5667931,2.4449952,2.4339564
202,PC,0.006136677,0.015024023,17.030973,3.02172,0.3318285,0.9667407,0.6319035,0.48669156,2.5303028,2.418564
203,PC,0.006111538,0.014757752,17.234852,2.383828,0.330016,0.96846396,0.47486234,0.43780765,2.572,2.3831406
204,PC,0.006050558,0.014365424,17.52368,2.147919,0.33594444,0.9671794,0.884707,0.42779937,2.6275325,2.4247005
205,PC,0.006079251,0.013931884,17.707933,1.7395145,0.3482736,0.97523695,0.6254399,0.40142262,2.6595347,2.3807921
206,PC,0.005971546,0.01298609,18.456284,0.20840508,0.35531852,0.9758265,0.94919276,0.31238118,2.8093877,2.39854
207,PC,0.006134012,0.015443636,16.660088,2.9774725,0.31835312,0.94971204,0.76051617,0.4744667,2.5248606,2.5725942
208,PC,0.005981999,0.0133221,18.377481,1.1024774,0.34273922,0.96329975,0.7677558,0.37048316,2.760692,2.4931738
209,PC,0.004236475,0.017064046,15.388963,6.296375,0.27735147,0.8843642,0.62671906,0.74124974,1.7905817,3.2405295
210,PC,0.006076263,0.014896377,16.89884,1.9255254,0.3232433,0.959047,0.7541846,0.39548105,2.5477383,2.4694543
211,PC,0.00603322,0.013927808,18.043638,0.86093414,0.3304398,0.97608984,0.6348145,0.34281358,2.6338043,2.2718518
212,PC,0.004493304,0.010336319,28.012007,4.7501187,0.41790962,0.86234766,1.1665716,0.9901909,2.8915083,3.8613656
213,PC,0.004520983,0.010729607,27.594967,5.5615435,0.40133658,0.8439423,1.2916389,1.0461113,2.8943026,4.0398846
214,PC,0.004754187,0.011193924,26.906387,6.2661014,0.40217978,0.81675977,1.0931792,1.0813235,2.953073,4.43634
215,PC,0.004881391,0.010743578,27.693113,5.7459064,0.40718156,0.8514361,1.0588877,1.06343,2.8482807,3.9666696
216,PC,0.004083575,0.015790932,15.921652,5.5754023,0.28539404,0.8862512,0.5492349,0.68623775,1.8873082,3.2365217
217,PC,0.0038697,0.014827645,16.39137,3.8491318,0.26651224,0.8150104,0.72155464,0.5484078,2.0898254,4.115114
