,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
2070,PE-LD,0.004165716,0.00371269,0.001640805,2.69E-06,0.001513764,0.027639932,-0.197740158,-0.226641111,0.251213708,0.063108327,0.316674051,1.72060823
2071,PE-LD,0.004274799,0.003813404,0.001653041,2.73E-06,0.001542758,0.027551425,-0.210875458,-0.241142856,0.247630301,0.061320766,0.311407541,1.702919113
2072,PE-LD,0.004226809,0.003770677,0.001640719,2.69E-06,0.001532076,0.027493438,-0.21012476,-0.24035111,0.248434667,0.061719784,0.31269872,1.705347006
2073,PE-LD,0.004219055,0.003761521,0.001647705,2.71E-06,0.001539706,0.02752701,-0.20738678,-0.2374269,0.249815909,0.062407988,0.315159701,1.70311571
2074,PE-LD,0.004190428,0.003734054,0.001648891,2.72E-06,0.001542758,0.027411036,-0.204332874,-0.234148228,0.251432263,0.063218183,0.31768234,1.714749167
2075,PE-LD,0.004176956,0.00372032,0.001647887,2.72E-06,0.001539706,0.027569737,-0.203642294,-0.233450858,0.251965049,0.063486386,0.318755828,1.720310786
2076,PE-LD,0.004166344,0.003709638,0.001647491,2.71E-06,0.001541232,0.027542269,-0.202473183,-0.232151771,0.252460082,0.063736093,0.319350713,1.714011542
2077,PE-LD,0.004155607,0.003698956,0.00164685,2.71E-06,0.001541232,0.027525484,-0.201655458,-0.231417624,0.252971798,0.063994731,0.320140521,1.711264446
2078,PE-LD,0.004145526,0.0036898,0.00164713,2.71E-06,0.001539706,0.027545321,-0.20098791,-0.230629768,0.253520233,0.064272508,0.321146929,1.710288518
2079,PE-LD,0.004136179,0.003680645,0.001647854,2.72E-06,0.001541232,0.02764451,-0.199373498,-0.228876107,0.253987633,0.064509718,0.322161237,1.729956264
2080,PE-LD,0.004129285,0.003674541,0.001647807,2.72E-06,0.001541232,0.027717756,-0.198722428,-0.228013677,0.254328833,0.064683155,0.322360928,1.7210269
2081,PE-LD,0.004555513,0.004109443,0.001625479,2.64E-06,0.001509186,0.027470549,-0.249255524,-0.28219971,0.235153214,0.055297034,0.290963132,1.669417128
2082,PE-LD,0.004526184,0.00406519,0.001742654,3.04E-06,0.001635079,0.033972716,-0.225777348,-0.257448093,0.240053155,0.057625517,0.299872099,1.686215902
2083,PE-LD,0.00447636,0.00401941,0.001730983,3.00E-06,0.001622108,0.0330846,-0.221972222,-0.25338619,0.241826234,0.058479927,0.302575872,1.701107401
2084,PE-LD,0.004402227,0.003949216,0.001716925,2.95E-06,0.001603797,0.031584569,-0.21649548,-0.247668033,0.244584329,0.059821494,0.307026455,1.706445092
2085,PE-LD,0.004372434,0.003920222,0.001711509,2.93E-06,0.001599219,0.03098944,-0.214756915,-0.245788122,0.245744754,0.060390484,0.309042999,1.703255302
2086,PE-LD,0.004345245,0.003894281,0.001706719,2.91E-06,0.001591589,0.030609473,-0.213183453,-0.244129266,0.246905875,0.060962511,0.310942506,1.707817123
2087,PE-LD,0.004315614,0.003866813,0.001699801,2.89E-06,0.001583959,0.030255448,-0.210767711,-0.241475945,0.247665252,0.061338077,0.312104525,1.704012431
2088,PE-LD,0.004275816,0.003828664,0.001689623,2.85E-06,0.001571751,0.029844961,-0.209441965,-0.240128927,0.24850015,0.061752325,0.313381057,1.71273856
2089,PE-LD,0.004264217,0.003816456,0.001691487,2.86E-06,0.001573277,0.029335287,-0.207464081,-0.237974144,0.249454499,0.062227547,0.314913601,1.712555695
2090,PE-LD,0.004243233,0.003793567,0.001691836,2.86E-06,0.001571751,0.029117073,-0.205123256,-0.235521235,0.250981132,0.062991528,0.317696094,1.710963273
2091,PE-LD,0.004222479,0.003773729,0.00168909,2.85E-06,0.001568699,0.028889703,-0.203271929,-0.233449476,0.251698451,0.06335211,0.318937455,1.715459301
2092,PE-LD,0.00420452,0.003756943,0.001685845,2.84E-06,0.001564121,0.028662333,-0.201398355,-0.231516257,0.252388113,0.063699759,0.319995556,1.715402336
2093,PE-LD,0.004188402,0.003741683,0.001683809,2.84E-06,0.001562595,0.028070256,-0.200660202,-0.230637933,0.253106581,0.064062941,0.321007102,1.723852546
2094,PE-LD,0.004171152,0.003723372,0.001682312,2.83E-06,0.001559543,0.02814808,-0.199424438,-0.229272811,0.253938293,0.064484656,0.322561149,1.716971136
2095,PE-LD,0.004159434,0.003711164,0.001681397,2.83E-06,0.001559543,0.027899347,-0.197916847,-0.227650727,0.254427112,0.064733155,0.323138683,1.718299899
2096,PE-LD,0.004146401,0.00369743,0.001680252,2.82E-06,0.001554966,0.027580419,-0.197076818,-0.226929334,0.25509051,0.065071168,0.324427953,1.728021943
2097,PE-LD,0.004135831,0.003688274,0.001680016,2.82E-06,0.001554966,0.027633828,-0.195606776,-0.225259914,0.255643727,0.065353715,0.325556335,1.729479949
2098,PE-LD,0.004119764,0.003671489,0.001676353,2.81E-06,0.001551914,0.027610938,-0.194762175,-0.224313936,0.256035691,0.065554275,0.326063482,1.719900217
2099,PE-LD,0.004029341,0.003586034,0.001595491,2.55E-06,0.001460355,0.026904413,-0.195233849,-0.22413793,0.250691517,0.062846237,0.313934158,1.712195073
2100,PE-LD,0.00409327,0.003639443,0.001640778,2.69E-06,0.00151529,0.027569737,-0.19255191,-0.221095334,0.254685613,0.064864762,0.322557671,1.722423388
