,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
190,ABS,0.206823451,0.206254196,0.006062791,3.68E-05,0.005541186,0.175639382,-0.062903635,-0.058552371,0.080219252,0.006435128,0.108256686,0.785325134
191,ABS,0.161084448,0.160427348,0.004838949,2.34E-05,0.00438717,0.152978697,-0.20141855,-0.203332836,0.111716178,0.012480504,0.15720653,0.945865524
192,ABS,0.214841811,0.214236938,0.00589151,3.47E-05,0.005340902,0.172816334,-0.048172151,-0.044550606,0.073524187,0.005405806,0.098058893,0.787909666
193,ABS,0.177999008,0.177413325,0.005450536,2.97E-05,0.004673289,0.185624962,-0.141233719,-0.138809595,0.103667342,0.010746918,0.145847353,0.86742137
194,ABS,0.198683809,0.198309604,0.006211947,3.86E-05,0.005388589,0.181991241,-0.081526653,-0.076733437,0.087454309,0.007648256,0.119500998,0.807978075
195,ABS,0.213264747,0.212653742,0.005976604,3.57E-05,0.005636559,0.171662318,-0.050616956,-0.046802657,0.074815103,0.0055973,0.09997005,0.78449824
196,ABS,0.25600283,0.255476332,0.005948037,3.54E-05,0.00670474,0.145501434,-0.009557073,-0.008921708,0.047077566,0.002216297,0.060322917,0.627620396
197,ABS,0.264685701,0.264288821,0.005932115,3.52E-05,0.006647516,0.142125221,-0.006481862,-0.006083999,0.042363365,0.001794655,0.053101585,0.609230166
198,ABS,0.220406764,0.219778124,0.005852334,3.42E-05,0.005541186,0.16880112,-0.039432272,-0.036275588,0.06923603,0.004793628,0.091736704,0.766526179
199,ABS,0.229200369,0.228809971,0.006154403,3.79E-05,0.006428157,0.163622352,-0.028581788,-0.026298241,0.062973088,0.00396561,0.08285961,0.747158407
200,SAN,0.023572593,0.022706464,0.003311239,1.10E-05,0.002948178,0.062894464,-0.445081508,-0.467625898,0.130495707,0.01702913,0.148136183,1.393447551
201,SAN,0.03013013,0.029329183,0.00332065,1.10E-05,0.002978697,0.065348227,-0.458580894,-0.477105502,0.114912301,0.013204837,0.134868179,1.280973302
202,SAN,0.028902795,0.02808399,0.00329741,1.09E-05,0.002942074,0.064487579,-0.458070088,-0.477165339,0.116988223,0.013686244,0.136371272,1.301483967
203,SAN,0.028132888,0.027308796,0.003286481,1.08E-05,0.002929866,0.064322774,-0.457453045,-0.476920362,0.11841382,0.014021833,0.1374962,1.316006702
204,SAN,0.027625457,0.026789965,0.003296572,1.09E-05,0.002942074,0.064872124,-0.456069809,-0.475852755,0.119739328,0.014337507,0.138638103,1.329360012
205,SAN,0.027210925,0.026368797,0.003304215,1.09E-05,0.002942074,0.064609656,-0.455209723,-0.475281686,0.120861569,0.014607519,0.13956232,1.334113762
206,SAN,0.026760484,0.025911005,0.003309295,1.10E-05,0.002942074,0.064811085,-0.453676997,-0.474034456,0.121951457,0.014872158,0.140413398,1.330981461
207,SAN,0.02629407,0.025441006,0.003310486,1.10E-05,0.002948178,0.064243423,-0.4530846,-0.473755204,0.12314483,0.015164649,0.141593116,1.339651935
208,SAN,0.025883793,0.025025942,0.003313412,1.10E-05,0.002948178,0.063932125,-0.452468042,-0.473446616,0.124330617,0.015458102,0.142693092,1.368248803
